time_stamp,humidity,temperature,pressure,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-12-28T00:00:00Z,45,35.067,1024.474,18.1,18.1,47.16,44.883,49.439,46.304
2024-12-28T01:00:00Z,45.967,34.367,1024.085,21,21,52.433,49.994,58.181,54.109
2024-12-28T02:00:00Z,47,34.1,1023.906,19.5,19.7,50.154,47.896,54.323,50.618
2024-12-28T03:00:00Z,47.967,35,1023.134,20.7,20.8,52.053,49.962,57.425,54.014
2024-12-28T04:00:00Z,48.5,34,1022.719,19.9,20.1,50.46,48.58,54.83,51.617
2024-12-28T05:00:00Z,49.7,34.334,1022.391,19.4,19.8,50.141,48.19,54.287,51.053
2024-12-28T06:00:00Z,51.133,34.834,1022.084,18.9,19.5,49.549,47.91,53.23,50.589
2024-12-28T07:00:00Z,55.367,35.267,1022.213,20,20.5,50.941,49.36,55.57,53.056
2024-12-28T08:00:00Z,56.433,36.467,1021.312,20.9,21.5,52.089,50.287,57.597,55.046
2024-12-28T09:00:00Z,57.1,37.367,1020.634,21.6,21.7,52.459,49.73,58.675,54.576
2024-12-28T10:00:00Z,57.1,38,1020.198,21.8,22.1,52.443,50.261,58.927,55.692
2024-12-28T11:00:00Z,58.133,38,1020.005,22.5,22.9,53.765,51.303,61.151,57.376
2024-12-28T12:00:00Z,59.334,37.8,1020.163,21.9,22.2,52.892,50.153,59.641,55.417
2024-12-28T13:00:00Z,58.666,38.933,1020.254,23.3,23.3,54.454,51.55,62.806,58.251
2024-12-28T14:00:00Z,59,39.534,1020.526,23.6,24.6,54.3,53.017,62.84,61.136
2024-12-28T15:00:00Z,59.133,41.067,1020.236,24.4,26,54.73,54.389,64.166,64.326
2024-12-28T16:00:00Z,59.867,42.666,1019.544,26,26.9,55.814,53.678,67.284,63.784
2024-12-28T17:00:00Z,59,44.233,1018.5,25.8,26.6,54.62,52.486,65.623,62.133
2024-12-28T18:00:00Z,59.466,45.8,1017.841,27.1,28.4,55.347,53.962,67.696,65.769
2024-12-28T19:00:00Z,60.234,47.6,1017.684,27.7,28.6,54.309,52.776,66.992,64.527
2024-12-28T20:00:00Z,60.233,48.566,1018.053,23.3,23.5,47.886,45.713,55.31,51.936
2024-12-28T21:00:00Z,59.867,48,1018.162,23.5,23.8,48.628,46.716,56.111,53.23
2024-12-28T22:00:00Z,59.034,47.367,1018.398,23.2,23.4,48.588,46.341,55.891,52.45
2024-12-28T23:00:00Z,58.867,46.966,1018.686,28.9,29.4,55.696,53.676,70.286,66.718
2024-12-29T00:00:00Z,58.334,47,1018.497,25.1,25.4,51.181,49.068,60.606,57.16
2024-12-29T01:00:00Z,59.8,46.966,1018.522,27.4,27.8,54.597,52.638,67.237,63.767
2024-12-29T02:00:00Z,60.3,46.8,1018.565,28.1,28.7,55.93,54.093,70.064,66.648
2024-12-29T03:00:00Z,60.867,46.133,1018.49,26.8,27.7,54.707,53.453,67.077,65.112
2024-12-29T04:00:00Z,64.067,46,1018.226,18.7,19.3,41.406,40.347,46.377,44.61
2024-12-29T05:00:00Z,64.4,47,1018.025,15.6,16,37.037,35.314,37.789,35.85
2024-12-29T06:00:00Z,62.166,46.8,1018.079,17.3,17.4,40.377,38.7,42.07,39.936
2024-12-29T07:00:00Z,61.966,46.034,1018.285,16,16.4,37.903,36.441,38.689,36.939
2024-12-29T08:00:00Z,63.033,45.8,1018.21,13.1,13.4,31.302,28.91,31.341,28.91
2024-12-29T09:00:00Z,62.533,46,1017.846,12.5,12.4,29.636,27.106,29.639,27.106
2024-12-29T10:00:00Z,62.2,46,1017.631,12.7,12.7,30.02,27.701,30.042,27.705
2024-12-29T11:00:00Z,62.3,46,1017.145,11.6,11.3,26.413,24.006,26.413,24.006
2024-12-29T12:00:00Z,62.833,46.067,1016.418,10.1,9.9,22.953,20.555,22.953,20.555
2024-12-29T13:00:00Z,62.933,46.267,1016.389,9.3,9.6,20.687,19.744,20.687,19.744
2024-12-29T14:00:00Z,65.066,46.5,1016.111,11.7,11.7,27.175,24.929,27.175,24.933
2024-12-29T15:00:00Z,66.133,46.6,1015.278,8.4,8.6,18.387,17.44,18.387,17.44
2024-12-29T16:00:00Z,68.667,47.534,1013.705,6.4,6.4,12.988,12.388,12.988,12.388
2024-12-29T17:00:00Z,71.466,49.233,1011.673,3.5,3.6,6.209,6.165,6.209,6.165
2024-12-29T18:00:00Z,72.466,51.6,1010.534,2.7,2.6,4.166,3.85,4.166,3.85
2024-12-29T19:00:00Z,73.534,52.1,1009.554,4,4.2,7.213,7.245,7.213,7.245
2024-12-29T20:00:00Z,74.933,53.7,1008.894,5,5.1,8.947,8.716,8.947,8.716
2024-12-29T21:00:00Z,74.267,55.433,1008.13,5.7,5.6,10.064,9.504,10.064,9.504
2024-12-29T22:00:00Z,74.6,55.933,1007.067,7.7,7.9,14.088,13.775,14.088,13.775
2024-12-29T23:00:00Z,73.467,56,1006.269,7.5,7.8,13.834,13.544,13.834,13.544
2024-12-30T00:00:00Z,73.7,57.066,1005.264,3.2,3.2,4.944,4.68,4.944,4.68
2024-12-30T01:00:00Z,71.3,58,1004.549,2.4,2.4,3.347,3.254,3.347,3.254
2024-12-30T02:00:00Z,70.567,59.067,1003.641,2.1,2,2.918,2.631,2.918,2.631
2024-12-30T03:00:00Z,70.633,60,1002.827,1.7,1.6,2.166,2.108,2.166,2.108
2024-12-30T04:00:00Z,72.7,60.8,1001.515,1.2,1.1,1.211,1.074,1.211,1.074
2024-12-30T05:00:00Z,73.867,61.034,999.941,0.9,0.8,0.629,0.504,0.629,0.504
2024-12-30T06:00:00Z,73.233,61.966,998.855,0.5,0.5,0.134,0.102,0.134,0.102
2024-12-30T07:00:00Z,75.1,61.867,997.937,0.8,0.8,0.523,0.423,0.523,0.423
2024-12-30T08:00:00Z,74.3,62,996.972,0.5,0.5,0.148,0.169,0.148,0.169
2024-12-30T09:00:00Z,73.967,62,996.225,0.3,0.3,0.042,0.015,0.042,0.015
2024-12-30T10:00:00Z,72.233,62.2,995.523,0.2,0.2,0.015,0.018,0.015,0.018
2024-12-30T11:00:00Z,72.867,61.933,994.856,0.2,0.2,0.05,0,0.05,0
2024-12-30T12:00:00Z,72.033,62,994.83,0.5,0.5,0.144,0.092,0.144,0.092
2024-12-30T13:00:00Z,71.166,62.133,995.02,0.7,0.7,0.479,0.366,0.479,0.366
2024-12-30T14:00:00Z,67.534,63.067,995.589,0.9,0.9,0.808,0.647,0.808,0.647
2024-12-30T15:00:00Z,58.167,64.1,995.87,0.7,0.6,0.456,0.295,0.456,0.295
2024-12-30T16:00:00Z,46.167,62.7,995.691,0.6,0.5,0.213,0.088,0.213,0.088
2024-12-30T17:00:00Z,40.733,62.833,995.596,0.4,0.3,0.103,0.016,0.103,0.016
2024-12-30T18:00:00Z,39.166,59.867,996.174,0.2,0.2,0.004,0,0.004,0
2024-12-30T19:00:00Z,37,59.6,996.534,0.1,0.1,0,0,0,0
2024-12-30T20:00:00Z,36.933,59.233,997.154,0.1,0.1,0,0,0,0
2024-12-30T21:00:00Z,40.067,56.9,998.336,0.1,0.1,0.009,0,0.009,0
2024-12-30T22:00:00Z,41.666,56.433,999.156,0.2,0.1,0,0,0,0
2024-12-30T23:00:00Z,45.534,54.867,999.886,0.3,0.3,0.002,0.011,0.002,0.011
2024-12-31T00:00:00Z,45.267,55.6,1000.677,0.4,0.3,0.058,0.011,0.058,0.011
2024-12-31T01:00:00Z,49.034,53.767,1002.014,0.3,0.3,0.065,0.022,0.065,0.022
2024-12-31T02:00:00Z,47.8,53.067,1002.803,0.3,0.2,0.003,0.005,0.003,0.005
2024-12-31T03:00:00Z,45.4,53.666,1003.402,0.3,0.3,0.018,0.01,0.018,0.01
2024-12-31T04:00:00Z,45.266,53.433,1003.914,0.3,0.3,0.043,0.009,0.043,0.009
2024-12-31T05:00:00Z,46,52.867,1004.095,0.5,0.5,0.171,0.135,0.171,0.135
2024-12-31T06:00:00Z,47.966,51.367,1004.608,0.7,0.6,0.258,0.195,0.258,0.195
2024-12-31T07:00:00Z,48,50.3,1005.188,1.8,1.7,2.559,2.206,2.559,2.206
2024-12-31T08:00:00Z,52.334,46.6,1005.576,1.1,1.1,1.127,0.982,1.127,0.982
2024-12-31T09:00:00Z,54.867,44.9,1006.255,1.7,1.8,2.474,2.37,2.474,2.37
2024-12-31T10:00:00Z,54.2,44.633,1006.919,2,1.9,3.053,2.676,3.053,2.676
2024-12-31T11:00:00Z,55.2,43.034,1007.393,1.8,1.8,2.72,2.528,2.72,2.528
2024-12-31T12:00:00Z,57.733,41.166,1007.872,3.1,3.1,6.134,5.821,6.134,5.821
2024-12-31T13:00:00Z,57.334,45.133,1008.273,2.2,2.1,3.599,3.14,3.599,3.14
2024-12-31T14:00:00Z,45.967,54.1,1008.695,2.1,2,2.832,2.619,2.832,2.619
2024-12-31T15:00:00Z,39.166,57.533,1008.42,1.9,1.8,2.492,2.35,2.492,2.35
2024-12-31T16:00:00Z,37.867,59.167,1007.256,2.4,2.2,3.281,2.936,3.281,2.936
2024-12-31T17:00:00Z,37.233,58.5,1006.113,2.7,2.6,3.858,3.498,3.858,3.498
2024-12-31T18:00:00Z,38.6,57.1,1005.371,2.6,2.4,3.596,3.175,3.596,3.175
2024-12-31T19:00:00Z,38.3,57.067,1004.75,2.3,2.1,3.178,2.804,3.178,2.804
2024-12-31T20:00:00Z,38.5,57,1004.643,2.3,2.1,3.16,2.83,3.16,2.83
2024-12-31T21:00:00Z,40.2,56.066,1004.453,2.5,2.2,3.539,3.035,3.539,3.035
2024-12-31T22:00:00Z,43.2,53.867,1004.668,2.6,2.4,3.706,3.446,3.706,3.446
2024-12-31T23:00:00Z,46.4,52.267,1004.298,3.7,3.5,6.308,5.733,6.308,5.733
2025-01-01T00:00:00Z,47.7,51.7,1003.649,3.9,3.8,7.083,6.494,7.083,6.494
2025-01-01T01:00:00Z,50.166,50.666,1001.983,7.7,7.5,15.825,14.588,15.828,14.588
2025-01-01T02:00:00Z,50.767,49.7,1000.746,11,10.9,23.28,21.548,25.158,23.017
2025-01-01T03:00:00Z,51,49,999.209,9,8.7,19.224,17.139,19.229,17.139
2025-01-01T04:00:00Z,53.034,48.9,998.242,6.2,5.9,12.514,11.229,12.514,11.229
2025-01-01T05:00:00Z,60.933,48.633,997.825,7.2,7,14.765,13.372,14.767,13.372
2025-01-01T06:00:00Z,67.4,46.567,995.387,5.6,5.3,11.351,10.221,11.351,10.221
