sensor_index,time_stamp,pm2.5_alt,pm2.5_atm,pm2.5_cf_1,temperature,humidity,pressure
156171,1695850200,4.1,6.37,6.3740000000000006,72,43.2,1023.084
156171,1695704400,20.7,34.95,37.863,59,63,1024.828
156171,1695748200,10.8,18.27,18.270000000000003,72,41.2,1027.044
156171,1695688800,17.3,29.48,30.107,63.8,58.4,1023.484
156171,1695846000,4.5,6.86,6.861000000000001,74,40,1022.97
156171,1695832800,4.8,7.18,7.177,72.4,42.2,1025.662
156171,1695841800,4.1,6.20,6.199,74.4,38.4,1023.51
156171,1695828600,6.7,10.84,10.836,68.2,49.8,1026.592
156171,1695672600,9.8,16.33,16.331,70,55.2,1020.052
156171,1695630600,13.1,23.56,23.615000000000002,62,66,1015.392
156171,1695609000,12,20.64,20.646,63,63.8,1015.936
156171,1695636600,16.3,28.13,28.606,62,66.8,1015.926
156171,1695803400,8.5,15.29,15.288,56,66,1026.8
156171,1695784200,11.2,19.94,19.938000000000002,58.4,63,1027.066
156171,1695782400,11.4,20.74,20.738,59,63,1027.182
156171,1695851400,4.4,6.54,6.541,71,43.4,1023.084
156171,1695736200,10.5,17.55,17.549,63,58,1028.218
156171,1695750000,10.5,17.67,17.666,72,40.8,1026.72
156171,1695837000,4.1,6.13,6.127000000000001,74,39.4,1024.53
156171,1695830400,6,9.45,9.449,71,47,1026.166
156171,1695825600,6.9,11.36,11.363,63.8,55.6,1027.162
156171,1695681000,10.6,17.76,17.758000000000003,68,59,1021.82
156171,1695654000,19.2,31.76,33.505,66,64,1018.864
156171,1695604200,15.3,26.85,27.105,63,64,1016.286
156171,1695804600,7.5,13.02,13.023,56,66,1026.78
156171,1695796800,9.4,16.98,16.983,56,66.8,1027.044
156171,1695784800,10.5,18.55,18.546999999999997,58,62.4,1027.146
156171,1695859200,5,8.01,8.007,63.6,57,1023.46
156171,1695740400,10.6,17.35,17.348,66,53,1028.084
156171,1695765600,9.3,15.34,15.337,69,47.2,1025.608
156171,1695759600,9,15.14,15.14,71,42,1025.504
156171,1695746400,10.6,18.12,18.124,69.6,44,1027.558
156171,1695700200,20.9,34.80,37.931,60,62,1024.644
156171,1695742800,10.7,18.09,18.086,68,47.2,1027.676
156171,1695810600,5.3,8.90,8.896,54,65,1026.976
156171,1695627000,12.3,21.64,21.643,62,64,1015.154
156171,1695669600,15.9,27.52,27.772,70,60.6,1019.95
156171,1695647400,17.2,29.67,30.495,64,65.6,1018.02
156171,1695792000,10.4,18.91,18.913,56,64.6,1027.404
156171,1695858600,4.6,7.53,7.531000000000001,64,56.6,1023.542
156171,1695762600,9.3,15.30,15.3,70,45,1025.522
156171,1695768600,15.7,25.72,26.494999999999997,66,55,1025.798
156171,1695745200,10.5,17.55,17.555,69,44.8,1027.664
156171,1695720600,17.3,31.08,31.696,56.6,65,1025.872
156171,1695695400,20.4,33.54,35.894999999999996,62,59.2,1024.332
156171,1695846600,4.4,6.83,6.826,73.4,40,1022.876
156171,1695674400,10.1,17.03,17.031,70,54.2,1020.372
156171,1695625800,11.3,19.58,19.576999999999998,62,64,1015.042
156171,1695610800,10.9,19.26,19.255000000000003,63,63,1015.956
156171,1695651000,19,31.51,33.185,65,65.6,1018.43
156171,1695639000,16.4,28.63,29.216,62,67,1016.296
156171,1695789600,10.9,19.20,19.195,57,64,1027.38
156171,1695783000,11,19.23,19.229,59,63,1027.098
156171,1695780600,11.3,19.61,19.61,59.8,62,1027.034
156171,1695776400,11.8,20.16,20.16,61.2,61.2,1026.498
156171,1695856800,5.9,9.57,9.567,65.8,53.8,1023.382
156171,1695822000,5.9,9.78,9.779,58,63.2,1027.154
156171,1695688200,17.7,30.00,30.772,64,57.8,1023.294
156171,1695766800,8.8,14.30,14.303,68,52,1025.754
156171,1695756600,9.1,15.03,15.033000000000001,71.2,40.8,1025.728
156171,1695757200,9.3,15.21,15.212,71,41,1025.658
156171,1695723600,16.4,30.23,30.51,56,64.4,1026.354
156171,1695749400,10.7,17.44,17.441000000000003,71.8,41.4,1026.89
156171,1695834000,4.7,7.33,7.335,73.4,41.6,1025.222
156171,1695616200,9.9,16.86,16.86,63,65,1015.408
156171,1695683400,13.4,23.24,23.244,66,58.4,1022.218
156171,1695664800,18.8,31.52,33.161,68,63.8,1019.688
156171,1695814800,5.6,10.11,10.114,54,64.6,1027.266
156171,1695857400,4.8,7.46,7.455,65,55,1023.438
156171,1695777000,12.2,21.15,21.153,61,61.8,1026.552
156171,1695861000,5.2,8.58,8.576,62.4,59,1023.844
156171,1695772800,10,17.23,17.225,63,59,1026.242
156171,1695753000,9.3,15.50,15.503,73,39.4,1026.132
156171,1695718800,17.8,32.19,33.429,57,65,1025.776
156171,1695717000,19,33.39,35.103,57,65,1025.704
156171,1695652800,19,31.56,33.18,65.6,64.4,1018.668
156171,1695622800,10,17.32,17.317,63,61,1015.298
156171,1695648600,18.6,31.05,32.509,64,65,1018.236
156171,1695649200,18.9,31.84,33.59,64,65,1018.256
156171,1695807600,6.2,11.11,11.109,55,65,1026.81
156171,1695809400,5.8,9.98,9.985,54.2,65,1026.924
156171,1695798600,9.1,16.74,16.742,56,66.8,1026.94
156171,1695847200,4.4,6.82,6.82,73,40,1022.88
156171,1695726000,15.7,29.30,29.566000000000003,56,65,1027.03
156171,1695722400,16.7,30.65,31.172,56.8,64.8,1026.328
156171,1695742200,11,18.28,18.276,68,48.8,1027.78
156171,1695839400,4.2,6.12,6.122999999999999,74,38.6,1023.94
156171,1695661800,18.6,31.15,32.57,68,61.6,1019.522
156171,1695627600,12,20.70,20.7,62,64.4,1015.148
156171,1695658800,18.9,31.16,32.54,68,62.6,1019.33
156171,1695811800,5.3,8.88,8.878,53.4,64.4,1027.032
156171,1695804000,8.5,14.98,14.985,56,66,1026.728
156171,1695781200,11.4,20.23,20.227,59,63,1027.13
156171,1695862200,5.3,8.41,8.408,62,60,1023.932
156171,1695733800,13.6,24.34,24.351,60,62,1028.2
156171,1695733200,13,22.70,22.701999999999998,60,62,1028.132
156171,1695729600,14.2,25.62,25.676000000000002,57.2,64.4,1027.494
156171,1695645600,16.5,28.67,29.269,63.4,67,1017.776
156171,1695609600,11.5,20.11,20.11,63,63.6,1015.876
156171,1695786000,10.8,19.63,19.634,58,63,1027.108
156171,1695778200,11.7,20.62,20.622,61,62,1026.696
156171,1695852600,4.6,6.97,6.971,70,46.4,1023.118
156171,1695708600,20.2,34.56,37.117000000000004,58,63,1025.23
156171,1695693600,18.9,31.70,33.177,62,60.6,1024.126
156171,1695706800,20.5,34.90,37.575,58.8,63,1025.09
156171,1695834600,4.3,6.41,6.411,73.8,40.6,1025.09
156171,1695833400,4.4,6.48,6.48,73,41.6,1025.462
156171,1695820800,5.8,9.75,9.75,55.6,65.4,1027.264
156171,1695675000,10.3,17.32,17.316000000000003,70,53.6,1020.554
156171,1695672000,9.7,15.96,15.955000000000002,70,54.4,1020.012
156171,1695622200,9.1,15.46,15.46,63,62,1015.394
156171,1695673800,10.1,16.77,16.775,69.8,53,1020.29
156171,1695682800,12.4,21.14,21.14,66.8,58.6,1022.11
156171,1695667800,18.4,30.92,32.213,69,62.6,1019.856
156171,1695862800,5.1,8.53,8.527999999999999,62,60,1023.94
156171,1695853200,4.5,7.06,7.057,70,47,1023.096
156171,1695738000,10.3,17.07,17.066000000000003,64,55.2,1028.168
156171,1695707400,20.3,34.95,37.793,58.2,63,1025.202
156171,1695724200,16,29.64,29.966,56,64.8,1026.502
156171,1695826800,6.9,10.72,10.724,65.2,54,1026.974
156171,1695637800,15.7,27.66,27.915,62,66.8,1016.118
156171,1695613800,10.9,18.60,18.596,63,64,1015.738
156171,1695620400,9.4,16.13,16.134,63,64.4,1015.628
156171,1695665400,19,31.70,33.341,68,64.2,1019.64
156171,1695625200,10.9,19.07,19.073,62.6,63.4,1015.036
156171,1695681600,11.1,18.81,18.813000000000002,67.2,59.2,1021.924
156171,1695801000,9.5,17.27,17.265,56,66,1027.014
156171,1695788400,10.9,19.50,19.5,57,63.8,1027.208
156171,1695785400,10.5,18.31,18.312,58,62.6,1027.106
156171,1695860400,5.5,8.77,8.765,63,58.8,1023.808
156171,1695858000,4.8,7.71,7.709,64.2,56,1023.486
156171,1695856200,5.2,8.10,8.097,66,53,1023.294
156171,1695692400,19,31.70,33.336,62,59.8,1023.946
156171,1695729000,14.3,26.66,26.743000000000002,57,65,1027.446
156171,1695751200,9.9,16.24,16.240000000000002,73,39.6,1026.508
156171,1695687600,17.5,29.24,29.767,64.4,57,1023.26
156171,1695717600,18.9,32.87,34.373999999999995,57,65,1025.74
156171,1695772200,9.8,16.42,16.421,63.6,59,1026.176
156171,1695752400,9.5,15.45,15.454,73,39.2,1026.278
156171,1695831000,5.9,9.49,9.489999999999998,71,46.6,1026.114
156171,1695684600,15,25.53,25.563,65,58.2,1022.336
156171,1695680400,10.6,17.33,17.326,68.4,59.4,1021.666
156171,1695648000,17.5,29.93,30.885,64,65.4,1018.184
156171,1695604800,15.3,26.96,27.223,63,64.8,1016.372
156171,1695682200,11.8,20.48,20.485,67,58.25,1022.045
156171,1695669000,17.4,29.66,30.387,69.4,61,1019.938
156171,1695621600,8.9,15.05,15.051,63,63,1015.484
156171,1695661200,18.1,30.60,31.7,68,60,1019.436
156171,1695773400,10.6,17.69,17.689,63,59.8,1026.226
156171,1695796200,9.2,16.87,16.869999999999997,56,66,1027.14
156171,1695797400,9.3,16.60,16.604,56,66.4,1026.96
156171,1695711000,24.3,39.88,45.763,57.6,64,1025.398
156171,1695705000,20.6,34.72,37.454,59,63,1024.852
156171,1695701400,21.3,35.34,38.775999999999996,60,62,1024.58
156171,1695728400,14.9,27.06,27.207,56.6,65,1027.398
156171,1695698400,21.6,34.93,38.224999999999994,61,60.8,1024.616
156171,1695663000,18.8,31.52,33.087,68,62,1019.606
156171,1695632400,14.2,25.10,25.232,62,65.4,1015.482
156171,1695657000,19.2,31.63,33.288,67,62.2,1019
156171,1695640200,16.7,29.03,29.777,62,67,1016.46
156171,1695621000,9.1,15.21,15.209,63,63.4,1015.538
156171,1695642600,16.9,29.43,30.195999999999998,62.8,67,1016.95
156171,1695798000,9.1,16.17,16.168,56,66.6,1026.93
156171,1695781800,11.8,21.01,21.009999999999998,59,63,1027.19
156171,1695853800,4.6,6.88,6.875,69.2,48.2,1023.126
156171,1695689400,17.3,29.43,30.003999999999998,63,59,1023.536
156171,1695718200,18.5,32.60,33.872,57,65,1025.738
156171,1695759000,9.4,15.51,15.507,71,42.2,1025.534
156171,1695727800,15.5,28.25,28.381,56.2,65,1027.448
156171,1695747600,10.6,17.50,17.497,71.6,42,1027.246
156171,1695831600,5.5,8.61,8.606,71.6,45.4,1026.04
156171,1695613200,11.5,19.43,19.427,63,64,1015.738
156171,1695659400,17.7,30.38,31.414,68,60.6,1019.37
156171,1695608400,13,22.89,22.895,63,64,1016.048
156171,1695634800,15.5,27.20,27.606,62,67,1015.62
156171,1695677400,10.2,17.50,17.503999999999998,70,54,1020.99
156171,1695640800,17.1,29.11,29.738,62,67,1016.548
156171,1695667200,18.9,31.47,33.119,69,62.6,1019.844
156171,1695783600,11.1,19.44,19.439,58.8,63,1027.062
156171,1695775800,11.7,20.23,20.237000000000002,62,61,1026.434
156171,1695730200,14.8,26.76,26.913,58,64,1027.55
156171,1695754800,9.2,15.35,15.350999999999999,72.2,38.8,1025.842
156171,1695712200,22.1,37.32,41.388999999999996,57,64,1025.474
156171,1695709800,19.9,34.52,37.044,58,63.4,1025.238
156171,1695727200,15.6,29.02,29.228,56,65,1027.31
156171,1695843000,4,6.35,6.353,74.4,38.6,1023.316
156171,1695838200,4.1,6.24,6.239000000000001,74.2,39.6,1024.268
156171,1695655200,19,31.93,33.834,66,63.6,1018.894
156171,1695658200,18.4,31.06,32.472,68,62.4,1019.184
156171,1695685800,16.4,27.77,27.932000000000002,65,58,1022.738
156171,1695810000,5.7,9.35,9.350999999999999,54,65,1027.004
156171,1695763800,9.1,15.36,15.359,69,45.2,1025.522
156171,1695756000,9.4,15.41,15.411999999999999,72,40,1025.74
156171,1695760200,11.4,18.70,19.454,70.6,42,1025.506
156171,1695726600,15.5,28.87,29.145,56,65,1027.204
156171,1695769800,10.9,18.13,18.129,65,56.4,1025.796
156171,1695823800,6.1,9.87,9.874,60.8,60.2,1027.102
156171,1695653400,19,31.48,33.054,66,64.6,1018.742
156171,1695631800,13.9,24.06,24.111,62,65.2,1015.498
156171,1695617400,9.6,16.65,16.648,63,64.8,1015.35
156171,1695645000,16.9,28.96,29.656,63,67,1017.618
156171,1695668400,18.3,30.83,31.995,69,61.6,1019.918
156171,1695610200,11.4,19.41,19.405,63,63.2,1015.9
156171,1695778800,11.5,20.20,20.195999999999998,60,62,1026.776
156171,1695852000,4.5,6.79,6.79,71,44.8,1023.088
156171,1695710400,20.4,35.26,38.194,58,63.6,1025.322
156171,1695844200,4.1,6.02,6.022,74,39,1023.114
156171,1695836400,4.3,6.24,6.236000000000001,74,39.2,1024.656
156171,1695813600,5.5,9.77,9.773,53,64.8,1027.248
156171,1695628200,12.1,21.08,21.075000000000003,62,65.6,1015.194
156171,1695673200,9.9,15.93,15.93,70,53.8,1020.206
156171,1695637200,16.2,28.48,29.174,62,66.6,1016.004
156171,1695789000,10.8,19.03,19.031,57,64,1027.196
156171,1695775200,12,20.44,20.439999999999998,62,61,1026.44
156171,1695777600,12,21.05,21.052,61,62,1026.564
156171,1695765000,8.9,15.00,15.004,69,46,1025.578
156171,1695720000,18,31.89,32.865,57,65,1025.682
156171,1695691800,18.8,31.19,32.461999999999996,62,59.8,1023.746
