id,time_stamp,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b,temperature,humidity,pressure
164327,1695993000,16.30,16.30,29.45,30.43,30.01,31.00,65,71,1025.234
164327,1695989400,15.50,15.50,27.31,28.90,27.46,29.20,65,70,1025.16
164327,1695956400,14.90,14.70,25.49,26.98,25.54,27.14,68,66,1024.888
164327,1696039200,13.30,12.50,23.29,23.64,23.29,23.64,66,72,1023.838
164327,1696024200,14.50,14.60,25.50,27.28,25.54,27.51,66.8,70,1023.534
164327,1696017600,19.20,18.80,31.76,32.17,33.55,34.21,68,66.8,1023.16
164327,1696012200,18.10,18.20,31.92,33.25,33.41,35.18,64.8,70,1023.718
164327,1695982200,15.50,15.20,27.08,28.89,27.18,29.27,64.6,69.8,1024.49
164327,1695984000,15.20,15.10,27.49,28.31,27.61,28.45,65,69,1024.738
164327,1695973800,15.40,14.80,27.24,28.27,27.40,28.48,65.8,69,1023.974
164327,1695966000,16.80,16.80,28.99,30.84,29.38,32.04,66,69.4,1024.588
164327,1696035600,15.70,15.00,27.18,28.25,27.39,28.57,66,71,1024.032
164327,1696006200,15.00,15.20,27.51,28.71,27.62,29.00,63.2,70,1024.38
164327,1695978000,16.10,16.10,28.34,30.19,28.63,30.76,65,69,1024.04
164327,1695960000,14.00,14.00,24.32,25.79,24.32,25.81,67.6,67.4,1024.906
164327,1696020000,16.00,16.10,28.01,28.95,28.27,29.39,67,67.6,1023.132
164327,1695983400,14.80,15.00,25.79,28.78,25.86,28.99,65,69,1024.672
164327,1695976200,16.10,16.20,28.78,30.08,29.11,30.74,65,69.4,1024.17
164327,1696041600,13.40,13.10,22.98,24.02,23.04,24.02,65,72,1023.648
164327,1695999600,17.40,17.60,31.54,31.52,32.65,32.68,65,68,1025.314
164327,1695993600,17.00,17.30,30.25,31.97,31.16,33.12,65,70.8,1025.22
164327,1695958200,14.10,14.20,24.13,25.93,24.13,25.97,68,67,1024.87
164327,1696017000,23.30,23.70,37.01,37.59,42.76,43.71,67.8,68,1023.13
164327,1695982800,15.10,14.50,26.44,27.92,26.52,28.09,64.8,69.6,1024.614
164327,1695969000,16.40,16.20,27.97,30.23,28.24,30.95,67,69,1024.766
164327,1696041000,12.40,12.30,21.53,22.87,21.53,22.88,65,71.8,1023.684
164327,1696021800,16.30,15.80,27.95,28.60,28.24,29.10,66.8,69,1023.488
164327,1696014600,18.50,18.50,31.36,33.14,32.69,35.00,66,68.8,1023.582
164327,1696011600,18.60,18.60,32.26,33.04,33.70,35.01,64.6,70.6,1023.746
164327,1696003800,14.00,13.40,25.49,25.11,25.50,25.14,63.8,69,1024.76
164327,1695985800,15.60,15.10,27.01,28.79,27.09,29.02,64.8,70,1025.148
164327,1695976800,15.70,16.00,27.05,30.01,27.17,30.49,65.2,69.6,1024.284
164327,1695972600,16.10,16.10,28.09,30.21,28.37,30.84,66,69,1024.014
164327,1696026000,15.20,15.10,25.42,28.37,25.50,28.63,67,70,1023.55
164327,1696010400,18.60,19.00,32.66,34.11,34.19,36.37,64,71.2,1024.044
164327,1696009800,18.50,19.10,32.79,34.79,34.35,37.19,63.8,71.8,1024.03
164327,1696009200,18.50,18.30,32.92,33.93,34.64,35.84,63.6,70.2,1023.984
164327,1695985200,15.30,15.70,27.15,29.92,27.23,30.56,64.2,69.8,1024.948
164327,1696040400,12.50,12.40,21.21,23.02,21.21,23.02,65.6,71.4,1023.708
164327,1695998400,17.10,17.00,30.77,31.39,31.47,32.45,65,68,1025.472
164327,1696028400,14.80,14.30,25.71,26.89,25.80,26.96,66,71.2,1023.37
164327,1696025400,18.50,18.50,30.16,31.10,33.51,34.47,66.8,70,1023.542
164327,1695984600,15.20,14.90,27.02,28.61,27.08,28.85,65,69,1024.76
164327,1695980400,16.00,15.80,28.53,29.62,28.88,29.93,64.4,70,1024.43
164327,1695963600,15.70,15.50,27.43,28.34,27.59,28.66,67,67.6,1024.688
164327,1695997200,17.80,18.00,30.75,32.55,31.79,34.09,66,68,1025.468
164327,1695986400,14.80,14.60,26.60,27.80,26.70,27.94,65,70,1025.05
164327,1695992400,17.00,16.50,29.57,30.98,30.11,31.80,64.8,70,1024.96
164327,1695968400,16.80,16.70,29.26,30.07,29.73,30.96,66.2,69.4,1024.77
