sensor_index,time_stamp,pm2.5_alt_a,pm2.5_alt_b,temperature,humidity,pressure
164351,1686005400,9.70,10.20,81,29.8,1009.638
164351,1686003600,10.60,11.50,82,28.4,1009.646
164351,1685985600,3.10,3.40,84,26.4,1011.704
164351,1685997600,3.70,4.20,86.6,25.4,1009.784
164351,1685992200,3.50,3.60,84.6,27.6,1010.148
164351,1685989800,3.10,3.40,82.2,28.8,1010.736
164351,1685978400,1.50,1.80,75,37,1013.662
164351,1685950200,1.80,2.20,61,57.6,1015.832
164351,1685986800,2.90,3.30,84.4,26.8,1011.36
164351,1686004800,9.60,10.70,81.4,29,1009.672
164351,1685957400,2.20,2.50,58,64.4,1016.074
164351,1685932800,1.60,1.80,66,45.2,1017.946
164351,1685925600,1.70,1.80,67.4,41.4,1018.17
164351,1685999400,6.10,6.70,86.8,24.8,1009.626
164351,1685986200,3.10,3.50,84.6,26.8,1011.45
164351,1685994600,3.40,3.60,84.4,27,1009.958
164351,1685970000,2.10,2.30,66.4,51.4,1015.394
164351,1685988000,3.10,3.40,83.2,27.2,1011.152
164351,1685991000,3.00,3.30,83.2,29,1010.338
164351,1686001200,8.70,9.40,84.4,26,1009.724
164351,1685977800,1.60,1.80,74.8,38.4,1013.764
164351,1685970600,2.10,2.50,66,51.8,1015.216
164351,1685827200,1.40,1.60,71.6,50.8,1019.318
164351,1685820600,1.90,2.40,72.6,50.4,1019.27
164351,1685801400,4.10,4.70,65.4,67,1018.772
164351,1685802000,4.30,5.00,64.8,67.6,1018.904
164351,1685800200,3.60,4.20,65.6,66,1018.618
164351,1685829600,0.90,0.90,71.2,50.2,1019.818
164351,1685833800,0.80,0.90,75.2,40.8,1020.198
164351,1685824800,1.80,2.00,74,49,1019.136
164351,1685916600,1.80,2.10,73.4,33.2,1017.322
164351,1685899200,1.30,1.60,71,33.8,1018.08
164351,1685891400,3.80,4.50,68.4,38.4,1018.55
164351,1685862600,9.90,9.40,57.4,64,1020.588
164351,1685904600,1.40,1.60,74.6,30.8,1017.29
164351,1685887200,5.30,6.40,66.6,43,1018.806
164351,1685847000,4.00,4.40,64,56,1021.766
164351,1685851200,2.50,2.70,62.4,57.6,1021.69
164351,1685836800,1.10,1.20,70,46.8,1020.836
164351,1685838600,1.30,1.40,68.8,47.8,1020.948
164351,1685844600,2.50,2.70,67,51.8,1021.72
164351,1685911800,1.80,2.00,71.6,33.4,1017.4
164351,1685847600,2.90,3.40,64,55.8,1021.694
164351,1685896200,1.10,1.30,70.4,33,1018.422
164351,1685839200,1.30,1.50,68,49.4,1021.092
164351,1685911200,1.60,2.00,72.4,33,1017.272
164351,1685848200,2.70,2.90,63.6,56.4,1021.716
164351,1685914800,1.80,2.10,71,36.2,1017.308
164351,1685845800,3.00,3.60,65.2,52.2,1021.808
164351,1685884200,7.00,8.10,64.8,48.4,1019.312
164351,1685849400,2.70,3.10,63,57.2,1021.806
164351,1685909400,1.60,2.00,74.2,31.4,1017.364
164351,1686031800,39.10,43.70,65,54.2,1008.87
164351,1686011400,10.90,11.90,74.4,39,1010.11
164351,1686021600,38.80,42.80,68,45.8,1010.362
164351,1686017400,31.70,34.60,70.6,42.4,1010.712
164351,1686034800,38.10,42.70,63,57,1008.608
164351,1686051600,50.60,57.90,64.8,53.4,1007.21
164351,1686025800,40.80,44.60,67,49,1009.804
164351,1686024000,41.80,45.00,68,47.8,1010.078
164351,1686032400,38.40,43.70,65,54.8,1008.822
164351,1686045000,40.90,45.90,61.4,59.2,1008.248
164351,1686047400,44.40,49.70,62.8,56.4,1007.754
164351,1686046800,42.50,48.60,62,58.2,1007.828
164351,1685964600,2.50,2.90,62,60.4,1015.994
164351,1685977200,1.70,1.70,73.8,39,1013.996
164351,1685989200,2.90,3.30,82,28,1010.934
164351,1685948400,1.70,2.00,61.4,56,1015.984
164351,1685928600,1.70,1.90,67,42,1018.14
164351,1685924400,1.70,1.80,67.6,41,1018.214
164351,1686009000,10.10,10.10,77,35,1009.882
164351,1686006600,9.50,10.40,80.2,30.8,1009.722
164351,1685955000,2.00,2.20,59,63,1016.042
164351,1685949000,1.90,2.10,61,56.8,1015.936
164351,1685980800,2.50,2.60,80.2,31,1012.894
164351,1685941200,2.60,3.20,64,53.6,1016.652
164351,1685947800,1.70,1.90,62,54.8,1016.068
164351,1685982600,3.00,3.30,81.6,29.6,1012.448
164351,1685975400,2.10,2.50,70,46.2,1014.54
164351,1686007800,9.30,10.30,78.6,32.8,1009.8
164351,1685960400,2.60,2.90,59.2,64,1016.234
164351,1686003000,10.30,11.40,82,28,1009.65
164351,1685942400,2.60,2.90,64,53.2,1016.74
164351,1685966400,2.70,2.70,63.4,57.8,1015.796
164351,1685972400,2.20,2.50,68,49,1015.06
164351,1685932200,1.90,2.10,66,44.6,1017.926
164351,1685933400,1.60,1.70,65.4,45.2,1017.862
164351,1685949600,2.00,2.20,61,57,1015.886
164351,1685931600,2.90,3.50,66,44,1017.996
164351,1685941800,2.70,3.10,64,53,1016.682
164351,1685981400,2.90,3.30,79.6,30.4,1012.828
164351,1685997000,3.90,4.40,86,25.8,1009.896
164351,1685950800,1.90,2.20,61,58,1015.924
164351,1685971200,2.10,2.60,66.6,51.2,1015.188
164351,1685938800,2.50,2.90,64,51.2,1016.924
164351,1685979600,2.10,2.40,78.2,34,1013.37
164351,1685937000,2.40,2.60,64,50,1017.17
164351,1685940600,2.70,3.00,64,53,1016.77
164351,1685946000,1.80,2.00,64,51.6,1016.236
164351,1685953800,2.10,2.20,59,61.4,1015.894
164351,1685968800,2.10,2.60,66.6,53.4,1015.642
164351,1685973600,2.40,2.90,68,48,1014.91
164351,1685965200,3.60,3.70,62.8,59.4,1016.018
164351,1685980200,2.20,2.40,78.4,32.8,1013.182
164351,1685929800,1.90,2.10,67,43,1018.236
164351,1685833200,0.80,0.80,75.8,41.4,1020.07
164351,1685802600,5.00,5.50,65,67.8,1018.936
164351,1685810400,2.90,3.20,69,55,1019.334
164351,1685832600,0.70,0.70,74.8,43.2,1020
164351,1685799000,3.80,4.30,65,64.8,1018.476
164351,1685821200,2.10,2.50,74,49.2,1019.222
164351,1685812200,2.80,3.10,69,55.8,1019.456
164351,1685809200,3.40,3.90,69,56.6,1019.386
164351,1685825400,1.90,2.30,73.2,49.2,1019.124
164351,1685811000,2.90,3.20,69,55.2,1019.4
164351,1685808000,3.50,4.10,68.2,57.4,1019.44
164351,1685807400,3.80,4.30,68,58.2,1019.43
164351,1685806800,4.00,4.50,67.6,59,1019.438
164351,1685814000,2.80,3.30,70,54,1019.478
164351,1685831400,0.90,0.80,75.2,42.6,1019.826
164351,1685902800,1.50,1.90,77,29,1017.3
164351,1685895600,1.20,1.40,70.4,32.8,1018.38
164351,1685840400,1.40,1.70,68,50.8,1021.386
164351,1685870400,3.70,4.30,55.8,66.8,1020.228
164351,1685906400,1.50,1.50,76.4,29.4,1017.318
164351,1685859000,2.40,2.60,58.6,64,1020.876
164351,1685919600,1.90,2.10,69,39,1017.702
164351,1685838000,1.10,1.30,69.8,48,1020.968
