Time,North Central Troy #1 (87173),South Troy #2 (149970),Lansingburgh #8 (166331)
2024-06-11T20:40:00-04:00,13,25,17
2024-06-11T20:50:00-04:00,14,35,16
2024-06-11T21:00:00-04:00,14,28,16
2024-06-11T21:10:00-04:00,14,25,16
2024-06-11T21:20:00-04:00,19,21,16
2024-06-11T21:30:00-04:00,18,18,17
2024-06-11T21:40:00-04:00,17,19,17
2024-06-11T21:50:00-04:00,23,23,17
2024-06-11T22:00:00-04:00,22,20,17
2024-06-11T22:10:00-04:00,17,17,22
2024-06-11T22:20:00-04:00,20,15,21
2024-06-11T22:30:00-04:00,20,16,24
2024-06-11T22:40:00-04:00,18,15,22
2024-06-11T22:50:00-04:00,20,15,21
2024-06-11T23:00:00-04:00,18,16,19
2024-06-11T23:10:00-04:00,17,16,18
2024-06-11T23:20:00-04:00,17,17,20
2024-06-11T23:30:00-04:00,15,17,22
2024-06-11T23:40:00-04:00,15,18,21
2024-06-11T23:50:00-04:00,16,20,21
2024-06-12T00:00:00-04:00,18,20,22
2024-06-12T00:10:00-04:00,17,21,22
2024-06-12T00:20:00-04:00,17,25,21
2024-06-12T00:30:00-04:00,17,33,21
2024-06-12T00:40:00-04:00,17,21,21
2024-06-12T00:50:00-04:00,17,20,21
2024-06-12T01:00:00-04:00,18,18,20
2024-06-12T01:10:00-04:00,16,20,20
2024-06-12T01:20:00-04:00,17,19,19
2024-06-12T01:30:00-04:00,18,19,19
2024-06-12T01:40:00-04:00,18,18,19
2024-06-12T01:50:00-04:00,17,18,18
2024-06-12T02:00:00-04:00,18,17,18
2024-06-12T02:10:00-04:00,17,15,19
2024-06-12T02:20:00-04:00,18,17,19
2024-06-12T02:30:00-04:00,19,18,18
2024-06-12T02:40:00-04:00,17,16,18
2024-06-12T02:50:00-04:00,17,17,19
2024-06-12T03:00:00-04:00,17,18,18
2024-06-12T03:10:00-04:00,18,19,19
2024-06-12T03:20:00-04:00,18,16,18
2024-06-12T03:30:00-04:00,18,17,20
2024-06-12T03:40:00-04:00,17,17,20
2024-06-12T03:50:00-04:00,17,17,19
2024-06-12T04:00:00-04:00,17,16,19
2024-06-12T04:10:00-04:00,17,18,20
2024-06-12T04:20:00-04:00,16,18,18
2024-06-12T04:30:00-04:00,18,18,19
2024-06-12T04:40:00-04:00,18,18,20
2024-06-12T04:50:00-04:00,19,18,19
2024-06-12T05:00:00-04:00,17,18,20
2024-06-12T05:10:00-04:00,19,19,21
2024-06-12T05:20:00-04:00,20,18,20
2024-06-12T05:30:00-04:00,18,18,20
2024-06-12T05:40:00-04:00,20,18,20
2024-06-12T05:50:00-04:00,19,19,21
2024-06-12T06:00:00-04:00,20,20,22
2024-06-12T06:10:00-04:00,20,21,23
2024-06-12T06:20:00-04:00,21,19,24
2024-06-12T06:30:00-04:00,22,20,26
2024-06-12T06:40:00-04:00,23,20,26
2024-06-12T06:50:00-04:00,24,21,27
2024-06-12T07:00:00-04:00,24,22,26
2024-06-12T07:10:00-04:00,23,24,24
2024-06-12T07:20:00-04:00,23,23,24
2024-06-12T07:30:00-04:00,25,25,24
2024-06-12T07:40:00-04:00,23,24,23
2024-06-12T07:50:00-04:00,23,28,23
2024-06-12T08:00:00-04:00,24,24,24
2024-06-12T08:10:00-04:00,28,27,31
2024-06-12T08:20:00-04:00,30,29,32
2024-06-12T08:30:00-04:00,29,29,33
2024-06-12T08:40:00-04:00,32,31,33
2024-06-12T08:50:00-04:00,34,30,31
2024-06-12T09:00:00-04:00,32,31,32
2024-06-12T09:10:00-04:00,32,32,31
2024-06-12T09:20:00-04:00,30,31,33
2024-06-12T09:30:00-04:00,33,31,34
2024-06-12T09:40:00-04:00,35,31,36
2024-06-12T09:50:00-04:00,36,32,36
2024-06-12T10:00:00-04:00,37,36,39
2024-06-12T10:10:00-04:00,36,37,37
2024-06-12T10:20:00-04:00,37,37,39
2024-06-12T10:30:00-04:00,38,37,39
2024-06-12T10:40:00-04:00,37,40,35
2024-06-12T10:50:00-04:00,38,38,36
2024-06-12T11:00:00-04:00,34,34,35
2024-06-12T11:10:00-04:00,34,32,32
2024-06-12T11:20:00-04:00,32,30,30
2024-06-12T11:30:00-04:00,30,24,29
2024-06-12T11:40:00-04:00,26,27,24
2024-06-12T11:50:00-04:00,25,28,26
2024-06-12T12:00:00-04:00,26,23,28
2024-06-12T12:10:00-04:00,30,21,26
2024-06-12T12:20:00-04:00,27,22,24
2024-06-12T12:30:00-04:00,26,24,24
2024-06-12T12:40:00-04:00,30,22,25
2024-06-12T12:50:00-04:00,25,20,23
2024-06-12T13:00:00-04:00,28,18,18
2024-06-12T13:10:00-04:00,22,17,19
2024-06-12T13:20:00-04:00,25,17,17
2024-06-12T13:30:00-04:00,30,16,16
2024-06-12T13:40:00-04:00,18,16,17
2024-06-12T13:50:00-04:00,15,19,16
2024-06-12T14:00:00-04:00,14,13,15
2024-06-12T14:10:00-04:00,15,13,15
2024-06-12T14:20:00-04:00,17,12,14
2024-06-12T14:30:00-04:00,14,16,16
2024-06-12T14:40:00-04:00,17,17,15
2024-06-12T14:50:00-04:00,17,12,15
2024-06-12T15:00:00-04:00,19,13,15
2024-06-12T15:10:00-04:00,17,12,14
2024-06-12T15:20:00-04:00,15,23,14
2024-06-12T15:30:00-04:00,14,17,14
2024-06-12T15:40:00-04:00,14,17,14
2024-06-12T15:50:00-04:00,17,15,14
2024-06-12T16:00:00-04:00,15,14,14
2024-06-12T16:10:00-04:00,17,13,15
2024-06-12T16:20:00-04:00,17,12,16
2024-06-12T16:30:00-04:00,16,15,16
2024-06-12T16:40:00-04:00,17,15,16
2024-06-12T16:50:00-04:00,18,15,18
2024-06-12T17:00:00-04:00,19,15,19
2024-06-12T17:10:00-04:00,23,17,20
2024-06-12T17:20:00-04:00,25,18,21
2024-06-12T17:30:00-04:00,23,20,22
2024-06-12T17:40:00-04:00,21,18,23
2024-06-12T17:50:00-04:00,24,18,24
2024-06-12T18:00:00-04:00,24,22,23
2024-06-12T18:10:00-04:00,25,23,27
2024-06-12T18:20:00-04:00,26,29,27
2024-06-12T18:30:00-04:00,27,31,28
2024-06-12T18:40:00-04:00,28,32,31
2024-06-12T18:50:00-04:00,30,34,31
2024-06-12T19:00:00-04:00,31,33,30
2024-06-12T19:10:00-04:00,33,32,33
2024-06-12T19:20:00-04:00,33,34,34
2024-06-12T19:30:00-04:00,33,30,34
2024-06-12T19:40:00-04:00,34,33,34
2024-06-12T19:50:00-04:00,34,36,33
2024-06-12T20:00:00-04:00,33,34,35
2024-06-12T20:10:00-04:00,33,31,34
2024-06-12T20:20:00-04:00,33,34,35
